Epoch,Accuracy
1,0.37
2,0.45
3,0.68
4,0.68
5,0.79
6,0.75
7,0.82
8,0.82
9,0.82
10,0.82
11,0.82
12,0.82
13,0.82
14,0.82
15,0.82
16,0.82
17,0.82
18,0.82
19,0.82
20,0.82
21,0.82
22,0.84
23,0.84
24,0.84
25,0.84
26,0.84
27,0.84
28,0.84
29,0.84
30,0.84
31,0.84
32,0.84
33,0.84
34,0.84
35,0.84
36,0.84
37,0.84
38,0.84
39,0.84
40,0.84
41,0.84
42,0.84
43,0.84
44,0.84
45,0.84
46,0.84
47,0.84
48,0.84
49,0.84
50,0.84
51,0.84
52,0.84
53,0.84
54,0.84
55,0.84
56,0.84
57,0.84
58,0.84
59,0.84
60,0.84
61,0.84
62,0.84
63,0.84
64,0.84
65,0.84
66,0.84
67,0.84
68,0.84
69,0.84
70,0.84
71,0.84
72,0.84
73,0.84
74,0.84
75,0.84
76,0.84
77,0.84
78,0.84
79,0.84
80,0.84
81,0.84
82,0.84
83,0.84
84,0.84
85,0.84
86,0.84
87,0.84
88,0.84
89,0.84
90,0.84
91,0.84
92,0.84
93,0.84
94,0.84
95,0.84
96,0.84
97,0.84
98,0.84
99,0.84
100,0.84
