Epoch,Accuracy
1,0.36
2,0.46
3,0.66
4,0.69
5,0.75
6,0.85
7,0.81
8,0.80
9,0.81
10,0.81
11,0.81
12,0.81
13,0.81
14,0.81
15,0.81
16,0.81
17,0.81
18,0.81
19,0.81
20,0.81
21,0.81
22,0.81
23,0.81
24,0.81
25,0.81
26,0.81
27,0.81
28,0.81
29,0.81
30,0.81
31,0.81
32,0.81
33,0.81
34,0.81
35,0.81
36,0.81
37,0.81
38,0.81
39,0.81
40,0.81
41,0.81
42,0.81
43,0.81
44,0.81
45,0.81
46,0.81
47,0.81
48,0.81
49,0.81
50,0.81
51,0.81
52,0.81
53,0.81
54,0.81
55,0.81
56,0.81
57,0.81
58,0.81
59,0.81
60,0.81
61,0.81
62,0.81
63,0.81
64,0.81
65,0.81
66,0.81
67,0.81
68,0.81
69,0.81
70,0.81
71,0.81
72,0.81
73,0.81
74,0.81
75,0.81
76,0.81
77,0.81
78,0.81
79,0.81
80,0.81
81,0.81
82,0.81
83,0.81
84,0.81
85,0.81
86,0.81
87,0.81
88,0.81
89,0.81
90,0.81
91,0.81
92,0.81
93,0.81
94,0.81
95,0.81
96,0.81
97,0.81
98,0.81
99,0.81
100,0.81
